year,id,population,total_revenue,total_rev_own_sources,general_revenue,gen_rev_own_sources,total_taxes,property_tax,tot_sales___gr_rec_tax,total_gen_sales_tax,total_select_sales_tax,alcoholic_beverage_tax,amusement_tax,insurance_premium_tax,motor_fuels_tax,pari_mutuels_tax,public_utility_tax,tobacco_tax,other_select_sales_tax,total_license_taxes,alcoholic_beverage_lic,amusement_license,corporation_license,hunting___fishing_license,motor_vehicle_license,motor_veh_oper_license,motor_vehicle_license_total,public_utility_license,occup_and_bus_lic_nec,other_license_taxes,total_income_taxes,individual_income_tax,corp_net_income_tax,death_and_gift_tax,docum_and_stock_tr_tax,severance_tax,total_ig_revenue,total_fed_ig_revenue,fed_igr_air_transport,fed_igr_education,fed_igr_emp_sec_adm,fed_igr_health___hos,fed_igr_highways,fed_igr_hous_com_dev,fed_igr_natural_res,fed_igr_public_welf,fed_igr_other,tot_local_ig_rev,local_igr_other_education,local_igr_health___hos,local_igr_highways,local_igr_public_welf,local_igr_other,tot_chgs_and_misc_rev,total_general_charges,chg_total_education,chg_total_high_ed,chg_hospitals,chg_regular_highways,chg_toll_highways,chg_housing___comm_dev,chg_total_nat_res,chg_parks___recreation,chg_all_other_nec,misc_general_revenue,prop_sale_other,interest_revenue,fines_and_forfeits,rents_and_royalties,net_lottery_revenue,misc_general_rev_nec,total_insur_trust_rev,total_insur_trust_ctrb,tot_ins_trust_inv_rev,total_emp_ret_rev,emp_ret_total_ctrib,emp_ret_loc_emp_ctrib,emp_ret_from_other_gov,emp_ret_sta_to_sta_ctr,emp_ret_int_rev,total_unemp_rev,unemp_payroll_tax,unemp_int_revenue,unemp_federal_advances,total_expenditure,total_ig_expenditure,direct_expenditure,total_current_expend,total_current_oper,total_capital_outlays,total_construction,total_other_capital_outlays,tot_assist___subsidies,total_interest_on_debt,total_insur_trust_ben,total_salaries___wages,general_expenditure,ig_exp_to_local_govts,ig_exp_to_federal_govt,direct_general_expend,general_current_expend,general_current_oper,general_capital_outlay,general_construction,general_capital_outlay_other,general_assist___sub,general_debt_interest,air_trans_total_expend,air_trans_direct_expend,air_trans_cap_outlay,air_trans_ig_local_govts,correct_total_exp,correct_direct_exp,correct_cap_outlay,correct_current_exp,correct_construct,correct_ig_loc_govts,total_educ_total_exp,total_educ_direct_exp,total_educ_assist___sub,total_educ_cap_outlay,total_educ_current_exp,total_educ_construct,elem_educ_total_exp,elem_educ_ig_local_govts,higher_ed_total_exp,higher_ed_direct_exp,higher_ed_cap_outlay,higher_ed_current_exp,higher_ed_construct,educ_nec_total_expend,educ_nec_direct_expend,educ_nec_assistance,educ_nec_cap_outlay,educ_nec_construction,educ_nec_ig_local_govts,emp_sec_adm_direct_exp,emp_sec_adm_cap_outlay,fin_admin_total_exp,fin_admin_direct_exp,fin_admin_cap_outlay,fin_admin_current_exp,fin_admin_construction,judicial_total_expend,judicial_direct_expend,judicial_cap_outlay,judicial_current_exp,judicial_construction,judicial_ig_local_govts,cen_staff_total_expend,cen_staff_direct_exp,cen_staff_cap_outlay,cen_staff_current_exp,cen_staff_construction,gen_pub_bldg_total_exp,gen_pub_bldg_cap_out,gen_pub_bldg_current_exp,gen_pub_bldg_construct,health_total_expend,health_direct_expend,health_capital_outlay,health_current_exp,health_construction,health_ig_local_govts,total_hospital_total_exp,total_hospital_dir_exp,total_hospital_cap_out,total_hospital_current_exp,total_hospital_construct,own_hospital_total_exp,own_hospital_cap_out,own_hospital_construct,total_highways_tot_exp,total_highways_dir_exp,total_highways_cap_out,total_highways_current_exp,total_highways_construct,regular_hwy_total_exp,regular_hwy_direct_exp,regular_hwy_cap_outlay,regular_hwy_current_exp,regular_hwy_construct,regular_hwy_ig_loc_govts,toll_hwy_total_expend,hous___com_total_exp,hous___com_direct_exp,hous___com_cap_outlay,hous___com_current_exp,hous___com_ig_loc_govts,libraries_total_expend,libraries_direct_exp,libraries_cap_outlay,libraries_ig_local_govts,natural_res_total_exp,natural_res_direct_exp,natural_res_cap_outlay,natural_res_current_exp,natural_res_construct,natural_res_ig_loc_govts,parks___rec_total_exp,parks___rec_direct_exp,parks___rec_cap_outlay,parks___rec_current_exp,parks___rec_construct,parks___rec_ig_loc_govts,police_prot_total_exp,police_prot_direct_exp,police_prot_cap_outlay,police_prot_current_exp,police_prot_construct,police_prot_ig_loc_govts,prot_insp_total_exp,prot_insp_direct_exp,prot_insp_cap_outlay,prot_insp_current_exp,public_welf_total_exp,public_welf_direct_exp,public_welf_cash_asst,public_welf_cap_outlay,public_welf_current_exp,public_welf_construct,welf_categ_total_exp,welf_categ_cash_assist,welf_cash_total_exp,welf_cash_cash_assist,welf_vend_pmts_medical,welf_vend_pmts_nec,welf_ins_total_exp,welf_ins_cap_outlay,welf_ins_construction,welf_nec_total_expend,welf_nec_direct_expend,welf_nec_cap_outlay,welf_nec_current_exp,welf_nec_construction,welf_nec_ig_local_govts,sewerage_total_expend,sw_mgmt_total_expend,sw_mgmt_direct_expend,interest_on_gen_debt,general_nec_total_exp,general_nec_direct_exp,general_nec_cap_outlay,general_nec_current_exp,general_nec_construct,general_nec_ig_loc_govts,total_util_total_exp,emp_ret_total_expend,emp_ret_benefit_paymts,emp_ret_withdrawals,unemp_comp_total_exp,unemp_comp_ben_paymts,unemp_ext___spec_pmts,total_debt_outstanding,total_long_term_debt_out,st_debt_end_of_year,total_beg_ltd_out,beg_ltd_out_all_other,beg_ltd_out_general,beg_ltd_out_other_nec,total_ltd_issued,ltd_iss_private_purp,ltd_iss_all_other,ltd_iss_general,ltd_iss_gen_other_educ,ltd_iss_gen_other_nec,total_ltd_iss_ng,ltd_iss_ng_general,ltd_iss_ng_other_educ,ltd_iss_ng_private_purp,ltd_iss_ng_other_nec,total_ltd_retired,ltd_ret_private_purp,ltd_ret_all_other,ltd_ret_general,ltd_ret_gen_other_educ,ltd_ret_gen_other_nec,total_ltd_ret_ffc,ltd_ret_ffc_general,ltd_ret_ffc_other_nec,total_ltd_ret_ng,ltd_ret_ng_general,ltd_ret_ng_other_educ,ltd_ret_ng_private_purp,ltd_ret_ng_other_nec,total_ltd_out,ltd_out_private_purp,ltd_out_all_other,ltd_out_general,ltd_out_gen_other_educ,ltd_out_gen_other_nec,total_ltd_out_ffc,ltd_out_ffc_general,ltd_out_ffc_other_nec,tot_ltd_out_ng,ltd_out_ng_general,ltd_out_ng_other_educ,ltd_out_ng_private_purp,ltd_out_ng_other_nec,total_cash___securities,insur_trust_cash___sec,emp_retire_cash___sec,emp_retire_cash___dep,emp_retire_total_sec,emp_retire_sec_tot_fed,emp_retire_sec_tot_nong,emp_retire_sec_corp_bds,emp_retire_sec_corp_stk,emp_retire_sec_misc_inv,emp_retire_sec_oth_nong,unemp_comp_cash___sec,unemp_comp_bal_in_us_trs,unemp_comp_other_balance,nonin_trust_cash___sec,sinking_fd_cash___sec,bond_fd_cash___sec,oth_nonin_fd_cash___sec,chg_highways,prop_sale_total,air_trans_current_exp,educ_nec_current_exp,emp_sec_adm_current_exp,own_hospital_current_exp,toll_hwy_current_exp,libraries_current_exp,welf_ins_current_exp,sw_mgmt_current_exp,total_util_current_exp
2016,10000000,4858979,30172490,20650521,25288886,15766917,9919794,346277,5106102,2596223,2509879,210535,6,317657,526763,1401,695626,180301,577590,507479,4224,0,162117,22931,213550,33964,247514,14443,56250,0,3959936,3492904,376680,0,43730,46622,9521969,9390697,23566,1614338,0,250736,734776,18944,183779,6208427,324781,131272,23124,21270,63354,0,23524,5847123,4704941,2566190,2542480,2015474,778,0,32275,6073,1489,76255,1142182,0,180052,206422,43133,0,374989,4558211,1253408,3304803,4264368,970022,446837,261306,0,3294346,293843,283386,10457,0,30307417,6676788,23075269,28496665,16611118,1810752,1371929,438823,773560,338355,3541484,4760946,22753926,1832441,0,22753926,20943174,16289775,1810752,1371929,438823,773560,338355,26360,1056,59,25304,541525,504743,15822,488921,4007,36782,10936141,5907891,675607,539636,5368255,342549,4844347,0,4881370,4881370,529566,4351804,341995,534817,350914,0,10070,554,183903,47752,536,315942,315942,4086,311856,0,202230,200146,2399,197747,0,2084,55242,55242,6222,49020,2332,2096,2096,0,2096,517728,421490,6724,414766,803,96238,2636578,1999718,100152,1899566,25225,0,0,0,1653128,1615772,1055673,560099,986964,1653128,1615772,1055673,560099,986964,37356,0,45891,29147,507,28640,16744,9104,4365,479,4739,250813,223198,35834,187364,3750,27615,18359,14553,1918,12635,236,3806,170514,165168,9760,155408,0,5346,95082,94536,2228,92308,7203252,7115403,97953,6391,7011059,379,31674,31674,66279,66279,6147048,198564,51821,715,379,707866,620017,5676,614341,0,87849,0,0,0,338355,448619,149947,20072,129875,3508,298672,75,3344780,3231876,112904,196704,196692,12,8667105,8612798,54307,9077315,8453296,0,0,529577,5400,524177,0,0,0,0,0,0,0,0,994094,164120,829974,0,0,0,0,0,0,0,0,0,0,0,8612798,465299,8147499,0,0,0,0,0,0,0,0,0,0,0,45075774,32162284,31633177,1406112,30227065,1189305,29037760,7117851,17774133,0,4143961,529107,529107,0,12913490,1464402,176157,11272931,778,0,997,340844,47216,0,0,3886,51106,0,75
2016,20000000,738432,8060170,5206968,7628651,4775449,1042164,111736,260846,0,260846,42430,10306,64400,48773,0,4027,67918,22992,120529,1919,0,0,29500,38000,0,38000,838,46957,3315,549053,0,212252,0,0,336801,2853202,2845781,105066,263343,37408,75703,616573,50230,153831,1346138,162840,7421,6007,0,0,0,0,3733285,700785,204998,195656,7110,19100,52756,10707,43033,3757,101613,3032500,373736,696560,27303,1013150,0,878608,412879,450453,-42727,224203,276829,81334,137351,0,-52626,183523,173624,9899,0,12783339,2039287,10321860,11278299,7146868,1505040,1101977,403063,155125,184886,1329941,1718737,10089111,2039287,0,10089111,8598323,6931548,1490788,1089481,401307,155125,181709,249065,249065,105975,0,332443,332238,14119,318119,4344,205,2787912,1619466,33378,428870,1190596,175358,1616652,1155522,1075371,1075371,361352,714019,154562,62511,49587,0,1111,890,12924,37939,32,245349,239620,6960,232660,0,225412,225002,2140,222862,1073,410,164219,164219,18546,145673,13892,66188,18,66170,0,251371,167316,376,166940,88,84055,28295,27417,23,27394,0,0,0,0,1290503,1289785,748494,541291,694832,1151264,1150546,727145,423401,673601,718,139239,164411,163558,29484,134074,853,6034,4825,8,1209,479705,417439,27297,390142,10178,62266,15045,14085,236,13849,69,960,140154,117117,570,116547,71,23037,29332,27256,2,27254,2372655,2230739,179413,4746,2046580,21,82094,24428,97319,97319,1688693,85980,51615,15,0,366954,282704,4731,277973,21,84250,0,0,0,181709,1423675,921526,3488,918038,2670,502149,232749,1192908,1180992,11916,132158,132124,34,5953933,5882344,71589,5555777,2231504,0,0,844897,244440,600457,0,0,0,0,0,0,0,0,518330,254268,264062,0,0,0,0,0,0,0,0,0,0,0,5882344,3314445,2567899,0,0,0,0,0,0,0,0,0,0,0,74150332,9205564,8756700,105626,8651074,906857,7744217,629821,4101343,1145382,1867671,433220,433220,0,64944768,3662764,153822,61128182,71856,373736,143090,48476,37907,0,117890,4817,51600,0,215320
2016,30000000,6828065,38241052,23700590,34582961,20042499,14676375,943008,8680009,6660817,2019192,72281,3830,545124,898234,160,22337,317331,159895,482362,7416,0,18342,35059,228970,31373,260343,0,159454,1748,4570996,3967924,570548,0,17328,15196,14540462,14232217,3480,1705240,0,328041,897489,77009,80565,10857703,257499,308245,42285,80937,3671,147710,33642,5366124,2880476,2461105,2449946,0,12736,0,5275,33516,46623,319167,2485648,111677,607416,157601,84966,204323,652533,3628996,3148912,480084,3143859,2667211,947332,1410756,0,476648,485137,481701,3436,0,42235749,10904503,30865872,40639150,23704082,1596599,1179465,417134,658760,639452,4266979,3973399,30836254,3778891,0,30836254,29239658,23676594,1596596,1179465,417131,658760,637325,30498,7586,3641,22912,1073370,1035468,11507,1023961,1146,37902,12502920,5352991,658760,530057,4822934,426924,7126679,0,4639221,4639221,527738,4111483,426924,78260,53943,0,2292,0,24317,0,0,273998,272630,1748,270882,0,164281,127402,407,126995,0,36879,306871,295474,2195,293279,130,31865,10075,21790,1597,2640044,2560563,1115,2559448,12,79481,53321,53222,146,53076,0,0,0,0,2194035,1449976,984469,465507,734617,2194035,1449976,984469,465507,734617,744059,0,80498,68544,69,68475,11954,2713,2580,71,133,271519,245653,14277,231376,4213,25866,80650,79071,4223,74848,1731,1579,247231,220474,8156,212318,0,26757,106509,106384,840,105544,14284731,13905657,299256,12412,13593989,337,299256,0,0,0,10926891,0,34682,106,52,3023902,2944084,12306,2931778,285,79818,138,1079,1079,637325,136617,100834,5572,95262,669,35783,29932,3988459,3683643,304816,278520,278502,18,14400191,14330769,69422,14187845,10133549,0,0,1590937,740435,850502,0,0,0,0,0,0,0,0,1448013,97586,1350427,0,0,0,0,0,0,0,0,0,0,0,14330769,4697145,9633624,0,0,0,0,0,0,0,0,0,0,0,58741092,39946927,39624910,1136491,38488419,701897,37786522,9316394,20536351,6111807,1821970,322017,322017,0,18794165,5809405,429626,12555134,12736,111677,3945,51651,0,0,0,2509,34576,1079,27802
2016,40000000,2978204,21431620,14000079,20346096,12914555,9452883,1119958,4590072,3314363,1275709,55164,56031,192020,479879,2616,0,230527,259472,396891,4624,473,26703,26579,163023,21825,184848,8351,143422,1891,3345962,2781458,450159,3,38844,48340,7431541,7387381,0,780032,91738,197912,548400,23754,85931,4968032,666332,44160,42885,126,0,0,1149,3461672,2454868,911720,909538,1284200,6079,0,365,26571,34692,191219,1006804,45,136997,15766,19768,120948,563172,1085524,1036455,31739,744741,722026,163751,505101,0,22715,323453,314429,9024,0,23256505,5887594,16998888,22155463,13345202,1101042,970498,130544,485634,130905,1936105,3006878,16998888,777125,214,16998888,15897846,13345202,1101042,970498,130544,485634,130905,15503,389,0,15114,429314,428673,368,428305,368,641,8440012,3329757,478104,250024,3079733,192865,5110255,0,2711408,2711408,249927,2461481,192768,140245,140245,0,97,97,0,93574,1,458515,458515,233,458282,127,126343,125787,0,125787,0,556,72200,72200,2754,69446,2543,1220,0,1220,0,296508,295371,121,295250,121,1137,1021700,1021700,15128,1006572,10030,0,0,0,1443384,1182557,807780,374777,743081,1443384,1182557,807780,374777,743081,260827,0,28733,13785,0,13785,14948,7281,2527,0,4754,304251,296199,13521,282678,10250,8052,71110,71060,3146,67914,3146,50,119889,118004,2,118002,2,1885,82200,82200,9,82191,6979738,6979723,7530,7597,6964596,7597,7489,7489,41,41,6397740,0,18423,7597,7597,556045,556030,0,556030,0,15,246,9313,9313,130905,502831,346552,358,346194,358,156065,4356,1716588,1689925,26663,204938,204938,0,4828756,4828756,0,4985140,3881579,0,0,345800,77370,268430,0,0,0,0,0,0,0,0,502184,82336,419848,0,0,0,0,0,0,0,0,0,0,0,4828756,1098595,3730161,0,0,0,0,0,0,0,0,0,0,0,34073139,25464616,24860744,825839,24034905,367513,23667392,1660264,7282274,10936752,3783960,485792,485792,0,8608523,1664378,358939,6585206,6079,45,389,140148,93573,0,0,2527,10826,9313,4356
2016,50000000,39144818,322332307,227996024,282907926,188571643,155231252,2513157,53365753,39189007,14176746,368699,0,2561932,5000539,14537,714623,840034,4676382,8551427,57406,16767,75066,104698,3996089,296160,4292249,674660,3303576,27005,90800915,80753345,9902185,0,0,68500,94336283,91204902,1,10652567,258118,2029151,5532623,120174,300033,69295352,2850895,3131381,306395,4387,857403,1571109,392087,33340391,23164164,8009986,8009334,9495805,38409,0,1152,1108279,109138,4380234,10176227,8749,2060838,1369622,423705,2319806,2950291,38649145,23391938,3880659,21050073,17169414,5506951,9322894,0,3880659,9334702,6222524,0,3112178,332287219,103538388,224385818,321953660,152385408,10333559,9181254,1152305,5182384,7186920,49297547,33914171,223033024,44708901,2811529,223033024,213555399,152081548,9477625,8325320,1152305,5182384,6993920,8298,4462,0,3836,9528475,9382122,728437,8653685,726980,146353,88446393,34784584,5182384,2458091,32326493,2079565,53661810,3864202,28559363,28559363,2458091,26101272,2079565,1042836,1042836,0,0,0,0,310551,2958,3335330,3335330,51940,3283390,46315,4255402,4181175,239720,3941455,239720,74227,441173,441173,585,440588,0,11189,11189,0,11189,9053782,1874170,0,1874170,0,7179612,10968673,10968673,916851,10051822,766964,0,0,0,10923189,7653674,3264668,4389006,2819988,10923189,7653674,3264668,4389006,2819988,3269515,0,662575,261889,0,261889,400686,49235,23242,0,25993,6898403,5675917,1676273,3999644,1534036,1222486,632840,519774,48500,471274,23657,113066,1920894,1901708,33617,1868091,33617,19186,2677670,2674675,0,2674675,104247577,79810075,5680266,25196,74104613,25196,5680266,0,0,0,73398513,182617,350235,25196,25196,24635946,5878710,0,5878710,0,18757236,984474,1884986,560662,6993920,3466989,1862251,19600,1842651,18093,1589191,1531794,36817978,36360671,457307,5397144,5396462,682,151307658,151307658,0,151715007,121747538,0,0,17103220,2884950,14218270,0,0,0,0,0,0,0,0,17510569,2899812,14610757,0,0,0,0,0,0,0,0,0,0,0,151307658,29952607,121355051,0,0,0,0,0,0,0,0,0,0,0,654910679,547501140,522312622,31478117,490834505,30843643,459990862,82852358,256690472,17058534,103383571,-3088756,11711,-3100467,107409539,29880672,5039254,72489613,38409,8749,4462,1042836,307593,0,0,23242,325039,560662,482860
2016,60000000,5456574,31420496,22716751,27554624,18850879,12795318,0,4897029,2840173,2056856,43407,116374,277647,667037,620,11650,201187,738934,702499,7367,821,19541,79664,504010,36751,540761,14717,39628,0,7195790,6485602,626109,0,0,84079,8703745,8439520,255,1421247,69468,1280177,854573,216028,70085,4182952,300686,264225,31620,10,183545,350,32667,6055561,3861835,2829456,2812066,782823,3224,4668,214,28525,4464,205059,2193726,0,813993,154663,245698,179975,303459,3865872,2252311,951366,2522269,1586354,517779,846823,0,935915,681408,665957,15451,0,34893065,7313298,26971950,33056520,18313755,1836545,1600072,236473,478980,859451,5483219,5242693,26958647,2307583,4782,26958647,25122102,18312136,1836545,1600072,236473,478980,847767,20362,2276,63,18086,1041204,895873,22312,873561,3100,145331,11458608,6462107,478980,975412,5486695,879789,4996501,0,5718659,5718659,896695,4821964,802270,264468,264468,0,78717,77519,0,56349,169,395663,395663,985,394678,98,479475,474261,2386,471875,282,5214,69853,67428,2157,65271,1479,10656,9050,1606,9041,611792,499289,2832,496457,852,112503,914125,914125,1313,912812,126,0,0,0,1863019,1368543,751708,616835,676809,1836421,1341945,731577,610368,656679,494476,26598,180007,168594,2875,165719,11413,7114,4563,95,2551,354229,336450,7501,328949,3585,17779,105729,94142,18039,76103,11297,11587,239388,225799,23060,202739,7520,13589,70934,70745,86,70659,8690422,7716538,863683,6123,6846732,2847,863683,0,0,0,7072970,2093,56621,393,13,695055,584854,5730,579124,2834,110201,2913,16761,16543,847767,1157848,840732,8794,831938,1701,312400,13303,4511945,4347893,164052,547071,547035,36,16686588,16665567,21021,16823300,6084455,0,0,3911626,906050,3005576,0,0,0,0,0,0,0,0,4256292,1312298,2943994,0,0,0,0,0,0,0,0,0,0,0,16665567,10519499,6146068,0,0,0,0,0,0,0,0,0,0,0,73261423,49351509,46185831,876774,45309057,3861191,41447866,5865972,16807256,4151586,14623052,689006,689006,0,23909914,11598737,782837,11528340,7892,0,2213,185751,56180,0,6467,4468,56228,16474,1619
2016,70000000,3590886,28131479,20810686,26171704,18850911,15244947,0,6149782,3752793,2396989,56345,305057,208895,467749,6876,298858,350723,702486,455454,9356,230,28878,5200,224287,48719,273006,675,133427,4682,8639711,7557153,719467,195157,167132,0,7320793,7302804,16602,667583,107794,277302,594260,119587,34304,4998636,299750,17989,1757,0,0,0,16232,3605964,2038995,1343486,1341462,411182,243,268,6812,4710,16916,142493,1566969,3201,623195,133510,5821,401813,304171,1925125,1629053,256165,1068340,814507,308405,366241,0,253833,816878,814546,2332,0,32398200,5440488,26480595,30093134,17605393,2305066,2010108,294958,563907,1492118,4514111,4576230,25721680,5399611,0,25721680,23738625,17168489,1983055,1701017,282038,563907,1492118,35269,35129,12076,140,693520,684159,4065,680094,2354,9361,8246895,4127375,371773,674019,3453356,591487,4114974,4068637,3367320,3367320,593763,2773557,524692,392828,382822,0,74796,66795,10006,92360,184,525497,525484,2841,522643,34,786724,786724,45167,741557,42009,0,180874,180874,3701,177173,342,25182,22751,2431,385,1085064,810543,5782,804761,2266,274521,1416094,1395523,17990,1377533,9766,0,0,0,1413880,1331048,851673,479375,815652,1413880,1331048,851673,479375,815652,82832,0,277092,249002,632,248370,28090,15203,12945,173,2258,233360,228178,75807,152371,8650,5182,68926,51886,19466,32420,14493,17040,241020,239228,7669,231559,1972,1792,97294,97294,1099,96195,7726922,7403679,301508,3104,7099067,83,202331,92881,99177,99177,6048319,186721,32264,537,0,1158110,944317,2567,941750,83,213793,3,97724,97724,1492118,1577988,1335317,221264,1114053,188181,242671,758915,3799590,3744980,54610,687975,687975,0,37024731,37024731,0,35351526,22758476,0,0,5463623,1433113,4030510,0,0,0,0,0,0,0,0,3790418,1277351,2513067,0,0,0,0,0,0,0,0,0,0,0,37024731,12748812,24275919,0,0,0,0,0,0,0,0,0,0,0,46950322,29022997,28600670,1280513,27320157,914375,26405782,3393723,9127644,3976059,9908356,382161,382161,0,17927325,14902690,604462,2420173,511,3201,23053,308026,92176,0,0,12772,31727,84132,436904
2016,80000000,945934,8083659,5852406,7962885,5731632,3522301,0,539193,0,539193,20274,0,96279,125453,69,55394,111762,129962,1452596,1584,306,1274897,3030,54287,6738,61025,0,105868,5886,1530512,1112368,318152,9350,89527,0,2231253,2163252,0,235476,15086,92287,202900,56034,36994,1425483,75383,68001,65065,0,0,0,2936,2209331,1200655,816971,816971,5563,1707,192331,4630,2207,13355,55934,1008676,2150,94804,18534,420,291683,548280,99947,216757,-125021,-39515,87197,6454,16866,0,-126712,131251,129560,1691,0,9505013,1519876,7888494,8812901,5968905,692112,595907,96205,327965,198061,701451,1405778,7751506,179331,252,7751506,7075681,5848204,675825,590690,85135,327965,198061,0,0,0,0,308341,308341,1688,306653,33,0,3072776,1712289,292436,127344,1584945,117235,1340293,0,1248513,1248513,123694,1124819,117232,191534,171340,0,3650,3,20194,16956,108,228452,228452,869,227583,250,196495,192667,2102,190565,694,3828,29904,28749,447,28302,89,64246,7437,56809,7012,456558,438640,3237,435403,90,17918,45578,45578,140,45438,0,0,0,0,603206,598061,474631,123430,436447,513557,508412,403698,104714,373381,5145,89649,76123,76123,863,75260,0,13757,5686,810,8071,96033,95352,9045,86307,87,681,55288,51563,7500,44063,38,3725,132830,132830,4054,128776,13,0,61451,61451,981,60470,2454378,2446352,35529,619,2410204,140,23088,23088,12441,12441,2049439,135,53881,108,0,315394,307368,511,306857,140,8026,0,42518,42518,198061,350454,247937,5791,242146,333,102517,136988,620437,615086,5351,75790,75790,0,5045161,5045161,0,4964915,3374857,0,0,619279,269,619010,0,0,0,0,0,0,0,0,539033,81629,457404,0,0,0,0,0,0,0,0,0,0,0,5045161,1508698,3536463,0,0,0,0,0,0,0,0,0,0,0,15267339,8865339,8759298,240067,8519231,0,8519231,770879,1910652,1955927,3881773,103054,103054,0,6402000,1676450,494031,4231519,194038,2150,0,167690,16848,0,18716,4876,53773,38302,120701
2016,92001001,672228,12871760,9277362,12713054,9118656,7418773,2418896,1783982,1343192,440790,6468,0,106887,25332,0,186498,30451,85154,180380,7855,0,32764,94,36751,5079,41830,0,49004,48833,3035515,1907862,556468,53967,444194,0,3594398,3553857,0,277532,0,147967,120508,298942,8648,2353930,281086,40541,0,0,0,0,2356,1699883,796717,38069,36811,146786,4742,0,27237,0,30633,200274,903166,1525,60936,203689,0,81159,525735,-16054,223215,-239269,-182441,65300,65300,0,0,-247741,166387,157915,8472,0,14123972,612625,13368714,12502300,10783775,1621672,1531875,89797,152274,561678,249315,93471,13010852,612625,0,13010852,11606670,10643403,1404182,1316556,87626,152274,561678,0,0,0,0,144915,144915,4745,140170,2718,0,2756789,2756789,0,323910,2432879,305703,2597846,0,158943,158943,17610,141333,16836,0,0,0,0,0,0,41235,75,280169,280169,15502,264667,14321,132515,132515,829,131686,179,0,79166,79166,2592,76574,2286,206826,60807,146019,60807,455573,455573,9783,445790,7640,0,269888,269888,23417,246471,23182,0,0,0,354822,354822,212189,142633,210266,354822,354822,212189,142633,210266,0,0,678972,678972,11544,667428,0,75218,75218,23423,0,67548,67548,6763,60785,5986,0,328468,328468,139752,188716,132051,0,593345,593345,17436,575909,8375,0,108188,108188,3469,104719,3785463,3785463,152274,49753,3583436,44467,152274,152274,0,0,2886800,27137,5413,0,0,713839,713839,49753,664086,44467,0,592945,118357,118357,561678,824792,824792,44516,780276,34467,0,970487,134682,127710,6972,114633,114633,0,14021629,13930429,91200,13674322,12745890,0,0,1265806,292278,973528,0,0,0,0,0,0,0,0,998772,92188,906584,0,0,0,0,0,0,0,0,0,0,0,13930429,1117596,12812833,0,0,0,0,0,0,0,0,0,0,0,12209685,6430397,6023801,75492,5948309,0,5948309,1875532,2101967,287638,1683172,406596,406596,0,5779288,1486198,211565,4081525,4742,1525,0,0,41160,0,0,51795,5413,116055,752997
2016,100000000,20271272,85094000,57703893,80261324,52871217,37640420,20,30429302,22291157,8138145,396418,202942,705400,2611492,6921,2408133,1223029,583810,2241468,9132,18000,315059,17026,1552251,117146,1669397,25516,177077,10261,4969630,0,2272230,140,2662080,35180,27390107,27071440,0,4304262,76367,2195200,2447251,132741,198620,16669859,1012096,318667,11459,235053,0,0,65060,15230797,8234288,2752536,2751669,814701,30810,1764304,0,74327,55929,804025,6996509,73048,651994,1136582,11258,1862510,1957999,4807919,3759195,912703,3557477,2706745,577218,1996028,0,850732,1114421,1052450,61971,0,89079106,20432133,67516186,82605654,49167712,6473452,5658994,814458,1987559,994814,8892649,9126839,67254267,5537847,0,67254267,60823962,48948940,6430305,5617287,813018,1987559,994814,224181,0,0,224181,2308698,2308698,22355,2286343,9425,0,25198225,11195047,1713856,653438,10541609,516669,13713339,0,7837214,7837214,515534,7321680,383724,1933816,1643977,0,137904,132945,289839,282273,5515,801121,666565,4709,661856,1727,1391961,1380866,18089,1362777,9600,11095,217816,217816,4741,213075,1787,34302,15748,18554,15647,3612735,3612735,68601,3544134,45643,0,957317,957317,80796,876521,56251,0,0,0,8007319,6855604,5279357,1576247,4787144,6708984,5557269,4402215,1155054,3925809,1151715,1298335,310203,233673,24,233649,76530,33941,9674,2908,24267,1078512,1053101,110516,942585,60103,25411,147043,147043,21571,125472,19834,0,566008,565858,33890,531968,4135,150,321695,314024,12061,301963,25597070,25597070,272269,22438,25302363,19950,153020,153020,119249,119249,23308148,10833,76987,2798,2279,1928833,1928833,19640,1909193,17671,0,109636,148194,148194,994814,1162993,1003079,61130,941949,45719,159914,599283,8383399,8372755,10644,452374,452230,144,33469117,33426507,42610,33321522,30664623,0,0,5105120,211467,4893653,0,0,0,0,0,0,0,0,5000135,603224,4396911,0,0,0,0,0,0,0,0,0,0,0,33426507,2265142,31161365,0,0,0,0,0,0,0,0,0,0,0,215699124,135773460,132318030,915197,131402833,22354508,109048325,6593710,41029902,0,61424713,3192905,3192905,0,79925664,4918547,3039197,71967920,1795114,73048,0,1506073,276758,0,421193,6766,74189,135950,556136
